,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
200,Frontal_Sup_Orb_L,"VSA DAS_SA,word_defn_ABILITY_SCORE",-0.30898964210873037,0.35256474352564743,12,0.8764340957208628
604,Parietal_Sup_R,CBCL-internalizing_score,0.3088488308501237,0.12478752124787522,15,0.7249067624357897
636,Frontal_Mid_L,CBCL-depressed_score,0.3082253701472644,0.032996700329967,15,0.5093107710505544
762,Postcentral_R,Vineland-copy_skills_RAW_SCORE,-0.307805930281794,0.10638936106389361,15,0.6954143295347884
529,Parietal_Inf_L,CBCL-attention_prob_score,-0.3074690078772161,0.4811518848115188,15,0.9027742387051617
639,Frontal_Mid_L,CBCL-internalizing_score,0.30736398070180576,0.04179582041795821,15,0.56809852995283
1056,Frontal_Inf_Orb_R,CBCL-depressed_score,0.30667649894049426,0.0847915208479152,15,0.6901635417853563
1294,Angular_R,Vineland-written_RAW_SCORE,-0.3061075148067353,0.1151884811518848,15,0.7066542254071536
714,Frontal_Mid_Orb_L,CBCL-social_prob_score,0.3055759940137081,0.3397660233976602,15,0.8764340957208628
1150,Frontal_Med_Orb_L,Vineland-inter_pers_rel_RAW_SCORE,-0.3048604189872314,0.3271672832716728,15,0.8764340957208628
132,Frontal_Sup_Medial_L,Vineland-copy_skills_RAW_SCORE,-0.3048604189872314,0.06999300069993,15,0.6404588299339999
593,Parietal_Sup_L,Vineland-receptive_RAW_SCORE,0.30428659171988864,0.5781421857814218,15,0.930343747234472
1099,Cerebelum_7b_R,CBCL-social_prob_score,0.3040706935505864,0.10058994100589941,15,0.6906856484162904
573,Parietal_Sup_L,CBCL-sluggish_cogn_tempo_score,0.3028677504965378,0.0857914208579142,15,0.6902758000062063
352,Occipital_Mid_L,CBCL-anxious_score,0.30234819306489946,0.29917008299170084,15,0.8754957837549578
127,Frontal_Sup_Medial_L,"VSA DAS_SA,rd_ABILITY_SCORE",-0.30198402288938686,0.17638236176382363,12,0.774501989053431
559,Parietal_Inf_L,Vineland-written_RAW_SCORE,-0.3016925025739458,0.04459554044595541,15,0.5828925304190892
1279,Angular_R,CBCL-total_problems_score,0.30088626485550685,0.1645835416458354,15,0.774501989053431
703,Frontal_Mid_Orb_L,CBCL-attention_hyper_prob_score,-0.30036667114480003,0.12218778122187782,15,0.7180871870971899
948,Cerebelum_8_R,CBCL-attention_hyper_prob_score,-0.30036667114480003,0.5213478652134786,15,0.9150645484764882
457,Occipital_Sup_R,CBCL-anxious_score,0.2992630074213801,0.34556544345565443,15,0.8764340957208628
1020,Cerebelum_10_R,CBCL-conduct_prob_score,0.29862198832598497,0.126987301269873,15,0.7346372800736456
819,Cerebelum_4_5_R,CBCL-social_prob_score,0.2980494916980995,0.045995400459954004,15,0.5828925304190892
1262,Angular_R,CBCL-anxious_score,0.29772041459962045,0.1381861813818618,15,0.7383994424984982
199,Frontal_Sup_Orb_L,"VSA DAS_SA,verbal_similarities_ABILITY_SCORE",-0.2967476634551902,0.36996300369963003,12,0.8764340957208628
404,Occipital_Mid_R,CBCL-total_problems_score,0.29498653417206555,0.24777522247775222,15,0.8515529865106398
693,Frontal_Inf_Tri_R,Vineland-domestic_RAW_SCORE,-0.29498653417206555,0.2753724627537246,15,0.8700475243955426
1133,Frontal_Med_Orb_L,CBCL-sluggish_cogn_tempo_score,0.2949805694940238,0.22157784221577842,15,0.8172550891124987
804,CSF,Vineland-written_RAW_SCORE,-0.2928624781083669,0.17538246175382463,15,0.774501989053431
387,Occipital_Mid_R,CBCL-anxious_score,0.29155004331258166,0.22357764223577642,15,0.8172550891124987
181,Frontal_Sup_Orb_L,CBCL-depressed_score,0.2911877868727925,0.20077992200779923,15,0.7940448892963812
1308,Frontal_Mid_R,CBCL-sluggish_cogn_tempo_score,0.2902482608925154,0.1471852814718528,15,0.7554153675541536
1146,Frontal_Med_Orb_L,Vineland-community_RAW_SCORE,-0.2901328625144182,0.35276472352764726,15,0.8764340957208628
419,Occipital_Mid_R,Vineland-written_RAW_SCORE,-0.28991913661984064,0.19758024197580243,15,0.7858305078583051
474,Occipital_Sup_R,CBCL-total_problems_score,0.2890868034886242,0.34656534346565343,15,0.8764340957208628
97,Frontal_Sup_L,Vineland-copy_skills_RAW_SCORE,-0.28866010686713695,0.0685931406859314,15,0.6336208484414717
232,Temporal_Pole_Mid_R,"VSA DAS_SA,rd_ABILITY_SCORE",-0.2885292891962954,0.031796820317968204,12,0.5093107710505544
1364,Occipital_Inf_R,Vineland-written_RAW_SCORE,-0.2884474658755775,0.2435756424357564,15,0.8515529865106398
495,Precentral_L,CBCL-conduct_prob_score,0.2880110547306454,0.1141885811418858,15,0.7042467559411459
1149,Frontal_Med_Orb_L,Vineland-expressive_RAW_SCORE,-0.287824837800531,0.37436256374362564,15,0.8764340957208628
